time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,twa,tws,twd,vmg,dist,cum_dist
2023-09-27 15:31:35+00:00,59.50968568213284,24.787630839273334,6.615423729964832,175.4492955615999,110.0,30.0,20.2,1.0,17.8,42.87531498209157,14.844095824477977,218.32461054369148,4.848021386031277,0.001837617702768009,6.395645435179398
2023-09-27 15:31:40+00:00,59.50956657528877,24.787648105993867,5.16280263260702,175.7858472206168,110.0,28.0,20.4,1.0,17.0,36.69892725598635,16.025865886844215,212.48477447660315,4.139467174205694,0.0071705592119541955,6.3974830528821665
2023-09-27 15:31:50+00:00,59.50932492502034,24.787705186754465,5.260553857787839,173.15374560588134,109.0,31.0,18.6,1.0,17.7,41.88400346111226,14.348941639469503,215.0377490669936,3.9164716729786324,0.01461264960496622,6.404653612094121
2023-09-27 15:31:53+00:00,59.509242111817,24.787725722417235,6.01362347936653,172.81626183862534,109.0,31.0,19.7,1.0,18.0,43.02088588475874,14.87142293073661,215.83714772338408,4.396590469944217,0.005011352899472109,6.419266261699087
2023-09-27 15:31:55+00:00,59.50919886119664,24.787729494273663,4.678797203579729,177.4619240032863,110.0,31.0,19.2,1.0,18.2,40.01464537696498,15.37945004356347,217.47656938025128,3.5833977409172495,0.0025993317797665164,6.424277614598559
2023-09-27 15:32:02+00:00,59.50902518816292,24.787775678560138,5.411272337555332,172.30221116393272,110.0,27.0,19.2,1.0,18.0,36.69574348767543,14.58688028213685,208.99795465160815,4.3388666005035805,0.010521918434135368,6.426876946378325
2023-09-27 15:32:09+00:00,59.508844977244735,24.787790095433593,5.56913404258282,177.67147248967353,110.0,27.0,19.3,1.0,18.1,37.0007032705802,14.559081427612483,214.67217576025374,4.447667067589585,0.010828871749466593,6.437398864812461
2023-09-27 15:32:30+00:00,59.50827257707715,24.787899060174823,5.736876240800366,172.56312087639276,109.0,29.0,19.4,1.0,18.7,39.94484496107739,14.648871981093196,212.50796583747015,4.398249941893022,0.01752934406911223,6.465245269276985
2023-09-27 15:32:37+00:00,59.50807107612491,24.787962678819895,6.301282419748695,170.8828193797657,109.0,30.0,18.5,1.0,19.0,43.58018021325836,13.41806789416032,214.46299959302405,4.564714339669687,0.012252493593955796,6.4827746133460975
2023-09-27 15:32:40+00:00,59.507991783320904,24.78796100243926,5.713268231365263,180.6156923301647,108.0,31.0,18.2,1.0,19.3,43.47288927096224,13.624330505015912,224.08858160112695,4.1461187529534795,0.004761056859471053,6.495027106940054
2023-09-27 15:32:50+00:00,59.5077190361917,24.788010539487004,5.920301126277792,174.72544544065227,108.0,29.0,19.5,1.0,19.0,40.332323582797244,14.606761994821559,215.0577690234495,4.513065203895693,0.0164452809063272,6.499788163799525
2023-09-27 15:32:51+00:00,59.50769213028252,24.78801866993308,5.883571738754991,171.26764876609877,109.0,30.0,19.6,1.0,19.3,41.46500725826348,14.799992258365421,212.73265602436226,4.40891489904268,0.0016343254829874975,6.516233444705852
2023-09-27 15:33:00+00:00,59.5074531622231,24.788088742643595,5.80229043274042,171.5224166652448,110.0,28.0,20.1,1.0,20.9,38.308331025876555,15.222588996799406,209.83074769112136,4.552977486214572,0.01450572608185105,6.51786777018884
2023-09-27 15:33:11+00:00,59.507165579125285,24.7881833743304,5.729134650728403,170.50437208967344,110.0,28.0,18.7,1.0,20.2,39.153841513766594,13.904104594422114,209.65821360344003,4.442677007433996,0.01750568921055901,6.532373496270691
2023-09-27 15:33:20+00:00,59.506922755390406,24.788260320201516,5.906615802484014,170.84970128872953,110.0,31.0,19.9,1.0,20.1,42.58712150720922,15.145705162682496,213.43682279593875,4.348741226374432,0.014766539506210034,6.54987918548125
2023-09-27 15:33:21+00:00,59.50689517892897,24.78826643899083,5.998202155608427,173.56495993074122,110.0,29.0,19.4,1.0,20.2,40.61016546792939,14.449497277301433,214.17512539867062,4.553570162625379,0.001666167265446785,6.56464572498746
2023-09-27 15:33:30+00:00,59.50666040182114,24.788361405953765,5.756008180088581,168.38110811584102,110.0,29.0,19.2,1.0,20.2,40.1442841060296,14.437929620302999,208.52539222187062,4.4000269239179275,0.014390020450221452,6.566311892252907
2023-09-27 15:33:40+00:00,59.506389163434505,24.788480512797832,6.006493686570887,167.41694415020402,111.0,29.0,20.2,1.0,20.3,40.02467530933299,15.227629406570552,207.441619459537,4.599577928685615,0.01668470468491913,6.5807019127031285
2023-09-27 15:33:58+00:00,59.505881974473596,24.78861923329532,6.294508236362708,170.9370002820965,110.0,28.0,19.2,1.0,,40.2221760777374,13.958665822685049,211.1591763598339,4.806147529333034,0.015736270590906768,6.612400589287236
2023-09-27 15:34:09+00:00,59.50557863339782,24.788700956851244,6.015985529688173,172.20177991017977,110.0,28.0,21.2,1.0,,38.07977729626589,16.137278715689817,210.28155720644565,4.735499598520558,0.01838217800738053,6.6281368598781425
2023-09-27 15:34:26+00:00,59.505125507712364,24.78883758187294,5.620061176942691,172.8458449535359,108.0,28.0,20.1,1.0,23.3,37.88711903299651,15.365997013501593,210.7329639865324,4.43547685284299,0.007805640523531517,6.666239951676455
2023-09-27 15:34:32+00:00,59.50496365316212,24.788867505267262,5.856305552574024,174.63100647143915,110.0,31.0,20.2,1.0,23.8,42.23800903821325,15.47691947296386,216.8690155096524,4.335767500009532,0.00976050925429004,6.674045592199986
2023-09-27 15:34:42+00:00,59.50470213778317,24.788907235488296,5.669322824226935,175.58382146589486,109.0,32.0,19.9,1.0,21.5,43.25828875167764,15.388257076990357,218.8421102175725,4.128808162334397,0.01574811895618593,6.683806101454277
2023-09-27 15:34:52+00:00,59.50443542562425,24.788985438644886,5.8283439202648095,171.52219760362482,110.0,29.0,20.6,1.0,23.5,39.32994599862019,15.757827052094486,210.852143602245,4.508276847869912,0.016189844222957803,6.699554220410462
2023-09-27 15:35:09+00:00,59.50397844426334,24.789060540497303,5.833429932256142,173.42735354641832,109.0,32.0,18.5,1.0,22.2,44.848582731784944,13.901036878391766,218.27593627820326,4.135744331049956,0.012963177627235872,6.730325553063545
2023-09-27 15:35:12+00:00,59.50389211066067,24.789079818874598,6.260030802972865,173.52365411256176,109.0,34.0,18.7,1.0,,48.52619139270146,13.956340420760569,222.04984550526322,4.145878250201395,0.005216692335810721,6.7432887306907805
2023-09-27 15:35:21+00:00,59.50365205295384,24.789100857451558,5.770977178966576,177.4489953409825,109.0,31.0,19.7,1.0,23.1,42.39061202488983,15.049733423631368,219.83960736587233,4.26224646863294,0.014427442947416439,6.748505423026591
2023-09-27 15:35:30+00:00,59.50340135022998,24.789181826636195,6.101267723821857,170.67596264638007,,31.0,20.0,1.0,23.0,43.01070263243102,15.100767543743538,213.6866652788111,4.461407387464113,0.015253169309554641,6.762932865974007
2023-09-27 15:35:39+00:00,59.5031379070133,24.789207810536027,6.33483036732625,177.12949682123792,110.0,29.0,18.9,1.0,23.8,41.94672456531657,13.707903742523156,219.0762213865545,4.711635769742588,0.015837075918315624,6.778186035283562
2023-09-27 15:35:51+00:00,59.50280766002834,24.78930277749896,6.0114723535113,171.68280867256226,111.0,30.0,20.4,1.0,24.9,41.19005897991204,15.48836397905393,212.8728676524743,4.523808375914525,0.020038241178370997,6.794023111201877
2023-09-27 15:35:52+00:00,59.50278444215655,24.78931602090597,5.224481242896582,163.82905644369748,,30.0,20.4,1.0,25.1,39.344046703179515,16.088947708202475,203.173103146877,4.0403685729883385,0.001451244789693495,6.814061352380248
2023-09-27 15:35:56+00:00,59.50267815962434,24.789362540468574,5.723915270253575,170.92742512243785,112.0,31.0,19.6,1.0,25.3,42.344815853988905,14.986466173061896,213.27224097642676,4.230571242023579,0.0015899764639593264,6.820463260484132
2023-09-27 15:36:04+00:00,59.502461571246386,24.789432361721992,5.929634388590109,170.6927394729545,110.0,28.0,20.0,1.0,,38.67760750581078,15.024590097063689,209.37034697876527,4.629115587654217,0.013176965307978019,6.822053236948092
2023-09-27 15:36:08+00:00,59.502354953438044,24.78946153074503,5.816519266986033,172.0817487319523,110.0,30.0,19.7,1.0,24.0,41.218640265263474,14.948381537104435,213.30038899721578,4.375189137140287,0.0064627991855400364,6.83523020225607
2023-09-27 15:36:17+00:00,59.50211372226477,24.78952456265688,5.844176225284968,172.43324958985568,109.0,29.0,22.3,1.0,26.9,38.36029583963284,17.420520715331644,210.79354542948852,4.582557113634346,0.014610440563212418,6.84169300144161
2023-09-27 15:36:27+00:00,59.501833682879806,24.789591366425157,6.097136077350971,173.08507915004634,111.0,32.0,22.0,1.0,26.1,42.86772901423157,17.136680661083467,215.9528081642779,4.468750705092198,0.016936489103752696,6.856303442004823
2023-09-27 15:36:37+00:00,59.50155389495194,24.78965657763183,6.089664224361515,173.24231905940542,110.0,32.0,20.9,1.0,23.9,43.589381006836476,16.063159515622644,216.8317000662419,4.41074173086491,0.016915733956559764,6.873239931108575
